PDE,Resolution,Modes,Mode_Offset,Rel_L2_Error,Train_Time_s,Inference_Time_s
burgers,128,8,-8,0.10657790899276734,37.248982191085815,0.06415152549743652
burgers,128,12,-4,0.0994193971157074,34.001723527908325,0.06273007392883301
burgers,128,16,0,0.09951478242874146,35.778995752334595,0.06548500061035156
burgers,128,20,4,0.11290147304534912,37.91581964492798,0.06882262229919434
burgers,128,24,8,0.09840271770954132,39.60035467147827,0.07479619979858398
burgers,256,8,-8,0.1031202495098114,50.09357166290283,0.10061407089233398
burgers,256,12,-4,0.10949658453464509,49.921135902404785,0.13680529594421387
burgers,256,16,0,0.1118988811969757,50.72085618972778,0.1107478141784668
burgers,256,20,4,0.0959753930568695,55.40894436836243,0.10634350776672363
burgers,256,24,8,0.11592177748680114,57.05757188796997,0.23125696182250977
burgers,512,8,-8,0.12067432701587677,82.85585832595825,0.17945623397827148
burgers,512,12,-4,0.1237309455871582,84.06335854530334,0.18454360961914062
burgers,512,16,0,0.11312814950942993,85.60840940475464,0.174332857131958
burgers,512,20,4,0.12157536149024964,89.13508701324463,0.2988131046295166
burgers,512,24,8,0.11572601199150086,91.36936521530151,0.18861985206604004
burgers,1024,8,-8,0.10754252076148987,147.90380668640137,0.33029961585998535
burgers,1024,12,-4,0.09908033311367034,151.09416580200195,0.34026455879211426
burgers,1024,16,0,0.10626031160354614,152.299311876297,0.3392333984375
burgers,1024,20,4,0.09894881546497344,155.15137219429016,0.3415806293487549
burgers,1024,24,8,0.09711816310882568,157.67408967018127,0.4139363765716553
darcy,8,4,-8,0.33811087608337403,19.192959308624268,0.033687591552734375
darcy,8,8,-4,0.3389809250831604,28.536224603652954,0.03160405158996582
darcy,8,12,0,0.3665544629096985,25.09164261817932,0.03872990608215332
darcy,8,16,4,0.3351092576980591,23.888415575027466,0.0390164852142334
darcy,8,20,8,0.35692018270492554,24.986772537231445,0.03711867332458496
darcy,16,4,-8,0.33091344833374026,33.9993941783905,0.0644066333770752
darcy,16,8,-4,0.29862179756164553,49.79245066642761,0.08509707450866699
darcy,16,12,0,0.33311493396759034,55.28231859207153,0.08963584899902344
darcy,16,16,4,0.320344603061676,56.72383093833923,0.0916604995727539
darcy,16,20,8,0.3032772660255432,57.09632134437561,0.09025025367736816
darcy,32,4,-8,0.30044008493423463,110.70563411712646,0.22560620307922363
darcy,32,8,-4,0.31361693143844604,127.51282572746277,0.30515527725219727
darcy,32,12,0,0.2832924842834473,144.76606392860413,0.2952139377593994
darcy,32,16,4,0.3025387763977051,166.92360544204712,0.3462357521057129
darcy,32,20,8,0.29319760799407957,178.21823453903198,0.3917877674102783
darcy,64,4,-8,0.27795751094818116,362.39113879203796,0.6863727569580078
darcy,64,8,-4,0.28782262802124026,364.2117850780487,0.7192175388336182
darcy,64,12,0,0.29030402898788454,376.2274646759033,0.8063626289367676
darcy,64,16,4,0.31127228736877444,404.4014661312103,0.7941739559173584
darcy,64,20,8,0.2711788654327393,431.8573389053345,0.8775055408477783
navier_stokes,8,4,-8,0.03542528450489044,12.892624378204346,0.026323556900024414
navier_stokes,8,8,-4,0.015819048136472703,14.602542877197266,0.020598411560058594
navier_stokes,8,12,0,0.018849661201238634,15.066940307617188,0.020335912704467773
navier_stokes,8,16,4,0.018092501908540726,15.457969427108765,0.021782636642456055
navier_stokes,8,20,8,0.019328150898218155,18.144670248031616,0.02247905731201172
navier_stokes,16,4,-8,0.18491401076316832,27.58429741859436,0.049512624740600586
navier_stokes,16,8,-4,0.09935429096221923,43.41786479949951,0.07590198516845703
navier_stokes,16,12,0,0.10013468563556671,44.795228719711304,0.07818984985351562
navier_stokes,16,16,4,0.10046244263648987,44.88473701477051,0.06935620307922363
navier_stokes,16,20,8,0.09878819286823273,45.96894598007202,0.07049918174743652
navier_stokes,32,4,-8,0.18131568431854247,87.21931028366089,0.19199299812316895
navier_stokes,32,8,-4,0.1267295777797699,101.56454682350159,0.22790145874023438
navier_stokes,32,12,0,0.12435650825500488,119.34157037734985,0.24968910217285156
navier_stokes,32,16,4,0.12052099704742432,141.41832041740417,0.33650755882263184
navier_stokes,32,20,8,0.12347460985183716,142.7184247970581,0.36719512939453125
navier_stokes,64,4,-8,0.18089876770973207,303.2415533065796,0.6215169429779053
navier_stokes,64,8,-4,0.1317944645881653,319.4721336364746,0.641916036605835
navier_stokes,64,12,0,0.12757948637008668,333.78456950187683,0.6909270286560059
navier_stokes,64,16,4,0.1275109112262726,358.3738613128662,0.7704448699951172
navier_stokes,64,20,8,0.12930065989494324,388.7126142978668,0.7791979312896729
